Date,positive,negative,naver_trend
2021-11-18,0,0,17.7348
2021-11-19,0,0,15.22987
2021-11-20,0,0,12.85868
2021-11-21,0,0,9.71304
2021-11-22,0,0,13.97255
2021-11-23,0,0,18.24787
2021-11-24,0,0,17.60033
2021-11-25,0,0,14.29973
2021-11-26,0,0,11.41081
2021-11-27,0,0,11.51471
2021-11-28,0,0,8.52835
2021-11-29,0,0,11.04227
2021-11-30,0,0,14.77505
2021-12-01,0,0,13.67952
2021-12-02,0,0,14.36769
2021-12-03,0,0,13.28546
2021-12-04,0,0,14.5151
2021-12-05,0,0,7.92719
2021-12-06,0,0,12.46211
2021-12-07,0,0,16.78022
2021-12-08,0,0,13.40303
2021-12-09,0,0,12.85832
2021-12-10,0,0,18.15187
2021-12-11,0,0,11.23786
2021-12-12,0,0,7.43858
2021-12-13,0,0,9.46388
2021-12-14,0,0,20.03264
2021-12-15,0,0,15.83498
2021-12-16,0,0,14.23897
2021-12-17,0,0,16.57312
2021-12-18,0,0,11.69017
2021-12-19,0,0,6.86906
2021-12-20,0,0,9.99493
2021-12-21,0,0,16.12944
2021-12-22,0,0,14.77936
2021-12-23,0,0,16.9679
2021-12-24,0,0,13.26425
2021-12-25,0,0,7.16496
2021-12-26,0,0,6.39554
2021-12-27,0,0,8.92852
2021-12-28,0,0,12.84682
2021-12-29,0,0,12.32297
2021-12-30,0,0,11.26339
2021-12-31,0,0,9.67565
2022-01-01,0,0,8.15622
2022-01-02,0,0,6.22152
2022-01-03,0,0,14.97783
2022-01-04,31.91489,0,32.09602
2022-01-05,0,0,16.69393
2022-01-06,0,0,15.60991
2022-01-07,0,0,12.85293
2022-01-08,0,0,10.20202
2022-01-09,0,0,7.03876
2022-01-10,0,0,10.46197
2022-01-11,0,0,14.38926
2022-01-12,0,0,11.7254
2022-01-13,0,0,11.42986
2022-01-14,0,0,14.75743
2022-01-15,0,0,9.06479
2022-01-16,0,0,7.23795
2022-01-17,0,0,8.06706
2022-01-18,0,0,10.03843
2022-01-19,0,0,12.98488
2022-01-20,0,0,12.55379
2022-01-21,0,0,12.76053
2022-01-22,0,0,12.79073
2022-01-23,0,0,7.86032
2022-01-24,0,0,13.53462
2022-01-25,0,0,21.6042
2022-01-26,0,0,17.0319
2022-01-27,0,0,22.2014
2022-01-28,0,0,39.32283
2022-01-29,0,0,17.30227
2022-01-30,0,0,8.53626
2022-01-31,0,0,9.11764
2022-02-01,0,0,18.90188
2022-02-02,0,0,15.09648
2022-02-03,0,0,16.86291
2022-02-04,0,0,15.94536
2022-02-05,0,0,10.78844
2022-02-06,0,0,6.9762
2022-02-07,0,0,9.33445
2022-02-08,0,0,11.9983
2022-02-09,0,0,11.24577
2022-02-10,0,0,11.2731
2022-02-11,0,0,10.23007
2022-02-12,0,0,10.20022
2022-02-13,0,0,6.74142
2022-02-14,0,0,9.68033
2022-02-15,0,0,13.38757
2022-02-16,0,0,11.93538
2022-02-17,0,0,10.42314
2022-02-18,0,0,11.45575
2022-02-19,0,0,9.42145
2022-02-20,0,0,6.13415
2022-02-21,0,0,8.49168
2022-02-22,0,0,10.31564
2022-02-23,0,0,12.49662
2022-02-24,0,0,28.27049
2022-02-25,0,0,19.0252
2022-02-26,0,0,9.9863
2022-02-27,0,0,6.61738
2022-02-28,0,0,9.5117
2022-03-01,0,0,14.24256
2022-03-02,0,0,11.26411
2022-03-03,0,0,10.67518
2022-03-04,0,0,10.90565
2022-03-05,0,0,8.6808
2022-03-06,0,0,5.65848
2022-03-07,0,0,7.88693
2022-03-08,0,0,11.95156
2022-03-09,0,0,8.85589
2022-03-10,0,0,9.6832
2022-03-11,0,0,10.51303
2022-03-12,0,0,10.26746
2022-03-13,0,0,6.4261
2022-03-14,0,0,9.78028
2022-03-15,0,0,16.37645
2022-03-16,0,0,13.4602
2022-03-17,0,0,12.97302
2022-03-18,10.63829,0,11.83291
2022-03-19,0,0,9.90108
2022-03-20,0,0,6.65298
2022-03-21,0,0,8.84187
2022-03-22,0,0,11.68046
2022-03-23,10.63829,0,19.58861
2022-03-24,0,0,15.76846
2022-03-25,0,0,13.99124
2022-03-26,0,0,9.89929
2022-03-27,0,0,6.70619
2022-03-28,0,0,16.67847
2022-03-29,23.40425,0,28.32945
2022-03-30,0,0,17.25805
2022-03-31,0,0,14.23358
2022-04-01,0,0,12.38948
2022-04-02,0,0,9.30424
2022-04-03,0,0,8.63981
2022-04-04,0,0,10.6288
2022-04-05,0,0,18.96696
2022-04-06,0,0,15.5344
2022-04-07,0,0,13.89992
2022-04-08,0,0,12.89967
2022-04-09,0,0,9.29705
2022-04-10,0,0,6.49226
2022-04-11,0,0,10.53064
2022-04-12,0,0,13.95385
2022-04-13,0,0,12.48404
2022-04-14,0,0,12.87558
2022-04-15,0,0,11.91129
2022-04-16,0,0,7.51013
2022-04-17,0,0,6.62205
2022-04-18,0,0,9.85111
2022-04-19,0,0,12.72889
2022-04-20,0,0,14.37559
2022-04-21,0,0,29.10786
2022-04-22,0,0,17.61759
2022-04-23,0,0,11.03976
2022-04-24,0,0,7.71111
2022-04-25,0,0,11.37809
2022-04-26,0,0,19.6713
2022-04-27,0,0,36.25485
2022-04-28,0,0,20.51155
2022-04-29,0,0,20.46553
2022-04-30,0,0,13.73237
2022-05-01,0,0,7.31453
2022-05-02,0,0,10.76399
2022-05-03,0,0,13.0327
2022-05-04,0,0,11.47624
2022-05-05,0,0,11.99542
2022-05-06,0,0,17.6273
2022-05-07,0,0,10.46269
2022-05-08,0,0,7.10636
2022-05-09,0,0,11.76316
2022-05-10,0,0,23.60254
2022-05-11,0,0,16.28908
2022-05-12,0,0,26.55439
2022-05-13,0,0,20.26527
2022-05-14,0,0,12.19281
2022-05-15,0,0,6.93054
2022-05-16,0,0,10.96461
2022-05-17,0,0,16.42391
2022-05-18,0,0,13.64644
2022-05-19,0,0,21.53229
2022-05-20,0,0,16.9697
2022-05-21,0,0,28.09107
2022-05-22,0,0,9.813
2022-05-23,0,0,15.88963
2022-05-24,0,0,20.70966
2022-05-25,0,0,24.70166
2022-05-26,0,0,18.39205
2022-05-27,0,0,17.80563
2022-05-28,0,0,13.07117
2022-05-29,0,0,7.64316
2022-05-30,0,0,10.92183
2022-05-31,0,0,12.70552
2022-06-01,0,0,11.64307
2022-06-02,0,0,12.35101
2022-06-03,0,0,15.20578
2022-06-04,0,0,16.09673
2022-06-05,0,0,8.51864
2022-06-06,0,0,10.31024
2022-06-07,0,0,14.06207
2022-06-08,0,0,13.80716
2022-06-09,0,0,14.34324
2022-06-10,0,0,14.30045
2022-06-11,0,0,14.58341
2022-06-12,0,0,12.15973
2022-06-13,0,0,18.03286
2022-06-14,0,0,23.07114
2022-06-15,0,0,17.95448
2022-06-16,0,0,17.23216
2022-06-17,0,0,22.41749
2022-06-18,0,0,12.77347
2022-06-19,0,0,9.34056
2022-06-20,0,0,11.65314
2022-06-21,0,0,14.79195
2022-06-22,0,0,19.4509
2022-06-23,0,0,15.14178
2022-06-24,0,0,13.38829
2022-06-25,0,0,9.89533
2022-06-26,0,0,6.43114
2022-06-27,0,0,9.62532
2022-06-28,0,0,11.81889
2022-06-29,0,0,13.03953
2022-06-30,0,0,12.83927
2022-07-01,0,0,11.52083
2022-07-02,0,0,8.71387
2022-07-03,0,0,7.4544
2022-07-04,0,0,8.27595
2022-07-05,0,0,11.47229
2022-07-06,0,0,11.63372
2022-07-07,0,0,10.87509
2022-07-08,0,0,10.99625
2022-07-09,0,0,10.68273
2022-07-10,0,0,5.97164
2022-07-11,0,0,9.59332
2022-07-12,0,0,13.82406
2022-07-13,0,0,11.41476
2022-07-14,0,0,11.76675
2022-07-15,0,0,10.72516
2022-07-16,0,0,7.72621
2022-07-17,0,0,5.36078
2022-07-18,0,0,9.12232
2022-07-19,0,0,10.98115
2022-07-20,0,0,13.03198
2022-07-21,0,0,21.75737
2022-07-22,12.76595,0,22.75977
2022-07-23,0,0,9.83529
2022-07-24,0,0,5.51826
2022-07-25,0,0,10.83769
2022-07-26,0,0,11.20227
2022-07-27,0,0,10.77585
2022-07-28,0,0,12.39272
2022-07-29,0,0,11.02933
2022-07-30,0,10.63829,10.10243
2022-07-31,0,0,5.69623
2022-08-01,0,0,10.80965
2022-08-02,0,0,13.18767
2022-08-03,0,0,13.23548
2022-08-04,0,0,15.14466
2022-08-05,0,0,17.68914
2022-08-06,0,0,13.68132
2022-08-07,0,0,6.18341
2022-08-08,0,0,12.36611
2022-08-09,0,0,14.00634
2022-08-10,0,0,15.09468
2022-08-11,0,0,13.15279
2022-08-12,0,0,10.25344
2022-08-13,0,0,9.65192
2022-08-14,0,0,5.81812
2022-08-15,0,0,7.92108
2022-08-16,0,0,14.16095
2022-08-17,0,0,13.38398
2022-08-18,0,0,12.38085
2022-08-19,0,0,10.47527
2022-08-20,0,0,7.66868
2022-08-21,0,0,5.26226
2022-08-22,0,0,9.42325
2022-08-23,0,0,11.3184
2022-08-24,0,0,12.1565
2022-08-25,0,0,21.35432
2022-08-26,0,0,16.41097
2022-08-27,0,0,10.52022
2022-08-28,0,0,5.72068
2022-08-29,0,0,9.43476
2022-08-30,0,0,11.17638
2022-08-31,0,0,10.51446
2022-09-01,0,0,9.80617
2022-09-02,0,0,9.46496
2022-09-03,0,0,7.69817
2022-09-04,0,0,5.14901
2022-09-05,0,0,6.57316
2022-09-06,0,0,7.84342
2022-09-07,0,0,9.96796
2022-09-08,0,0,9.41678
2022-09-09,0,0,8.22346
2022-09-10,0,0,9.09859
2022-09-11,0,0,5.97092
2022-09-12,0,0,7.63704
2022-09-13,0,0,12.41609
2022-09-14,0,0,13.65579
2022-09-15,0,0,12.33591
2022-09-16,0,0,10.56983
2022-09-17,0,0,7.56981
2022-09-18,0,0,5.08141
2022-09-19,0,0,7.94841
2022-09-20,0,0,10.3444
2022-09-21,0,0,9.90001
2022-09-22,0,0,11.0491
2022-09-23,0,0,11.38708
2022-09-24,0,0,8.33096
2022-09-25,0,0,5.07027
2022-09-26,0,0,9.44015
2022-09-27,0,0,10.348
2022-09-28,0,0,11.28964
2022-09-29,0,0,10.57882
2022-09-30,0,0,12.22661
2022-10-01,0,0,10.88695
2022-10-02,0,0,6.19672
2022-10-03,0,0,17.0132
2022-10-04,0,0,28.58437
2022-10-05,0,0,15.26726
2022-10-06,0,0,13.238
2022-10-07,0,0,10.90097
2022-10-08,0,14.89361,10.27069
2022-10-09,0,0,7.2926
2022-10-10,0,0,8.30543
2022-10-11,0,0,11.83363
2022-10-12,0,0,12.62318
2022-10-13,0,0,12.42184
2022-10-14,0,0,11.21881
2022-10-15,0,0,12.71055
2022-10-16,0,0,6.29379
2022-10-17,0,0,10.22539
2022-10-18,10.63829,0,13.16034
2022-10-19,0,0,13.32573
2022-10-20,0,0,24.55605
2022-10-21,0,0,14.13218
2022-10-22,0,0,8.63585
2022-10-23,0,0,5.26011
2022-10-24,0,0,11.28784
2022-10-25,0,0,13.2265
2022-10-26,0,0,12.24279
2022-10-27,0,0,11.60028
2022-10-28,0,0,11.26447
2022-10-29,0,0,8.14076
2022-10-30,0,0,4.20629
2022-10-31,0,0,6.83742
2022-11-01,0,0,9.68104
2022-11-02,0,0,8.87603
2022-11-03,0,0,10.15241
2022-11-04,0,0,8.92852
2022-11-05,0,0,9.76266
2022-11-06,0,0,5.21013
2022-11-07,0,0,8.32161
2022-11-08,0,0,22.44949
2022-11-09,0,0,20.98363
2022-11-10,0,0,24.69268
2022-11-11,0,0,19.05217
2022-11-12,0,0,11.04659
2022-11-13,0,0,5.90944
2022-11-14,0,0,9.77129
2022-11-15,0,0,12.8141
2022-11-16,0,0,11.00129
2022-11-17,0,0,11.30438
2022-11-18,0,0,10.52777
2022-11-19,0,0,9.61201
2022-11-20,0,0,5.17418
2022-11-21,0,0,8.4906
2022-11-22,0,0,20.88548
2022-11-23,0,0,14.14836
2022-11-24,0,0,13.33184
2022-11-25,0,0,8.76817
2022-11-26,0,0,6.78565
2022-11-27,0,0,4.49392
2022-11-28,0,0,7.47165
2022-11-29,0,0,9.98738
2022-11-30,0,0,9.04609
2022-12-01,0,0,11.54779
2022-12-02,0,0,9.98917
2022-12-03,0,0,5.9382
2022-12-04,0,0,4.36233
2022-12-05,0,0,7.72873
2022-12-06,0,0,11.825
2022-12-07,0,0,10.12832
2022-12-08,0,0,12.1529
2022-12-09,0,0,11.91021
2022-12-10,10.63829,0,8.38417
2022-12-11,0,0,5.11881
2022-12-12,0,0,8.09187
2022-12-13,0,10.63829,24.7556
2022-12-14,0,36.17021,27.92137
2022-12-15,0,0,23.35446
2022-12-16,0,10.63829,15.75336
2022-12-17,0,0,14.05452
2022-12-18,0,0,6.69936
2022-12-19,0,0,11.70994
2022-12-20,0,0,17.52123
2022-12-21,12.76595,0,36.18043
2022-12-22,0,0,21.04655
2022-12-23,0,10.63829,40.17459
2022-12-24,0,0,18.4636
2022-12-25,0,0,11.8872
2022-12-26,0,10.63829,16.00972
2022-12-27,0,0,22.87267
2022-12-28,0,29.78723,68.82224
2022-12-29,0,0,37.06311
2022-12-30,14.89361,23.40425,25.31073
2022-12-31,0,0,14.35438
2023-01-01,0,10.63829,10.43429
2023-01-02,0,0,13.68923
2023-01-03,0,0,28.30968
2023-01-04,0,10.63829,61.23481
2023-01-05,10.63829,0,28.14896
2023-01-06,0,0,31.25937
2023-01-07,0,0,23.43356
2023-01-08,0,0,13.07225
2023-01-09,0,0,23.80928
2023-01-10,10.63829,0,30.30298
2023-01-11,0,10.63829,21.25077
2023-01-12,0,0,19.69611
2023-01-13,0,0,21.26192
2023-01-14,0,0,15.76379
2023-01-15,0,0,12.10688
2023-01-16,0,0,14.00527
2023-01-17,0,0,16.08558
2023-01-18,46.80851,0,23.88982
2023-01-19,0,0,17.53705
2023-01-20,0,0,16.10679
2023-01-21,0,0,12.66597
2023-01-22,0,0,8.93607
2023-01-23,0,0,9.90504
2023-01-24,14.89361,0,19.07554
2023-01-25,0,0,18.96947
2023-01-26,0,0,33.36053
2023-01-27,0,0,29.38327
2023-01-28,21.27659,0,29.70147
2023-01-29,0,0,9.89353
2023-01-30,0,0,20.94157
2023-01-31,0,0,25.33554
2023-02-01,0,0,19.03275
2023-02-02,0,0,22.03242
2023-02-03,0,0,25.89391
2023-02-04,0,0,18.10765
2023-02-05,0,0,9.08708
2023-02-06,0,0,14.09263
2023-02-07,10.63829,0,18.31906
2023-02-08,0,0,17.13868
2023-02-09,0,0,20.50328
2023-02-10,0,0,21.12925
2023-02-11,0,0,13.56195
2023-02-12,0,0,7.36631
2023-02-13,0,0,12.40926
2023-02-14,0,0,16.59254
2023-02-15,34.04255,0,22.82197
2023-02-16,0,0,18.31942
2023-02-17,0,0,20.48387
2023-02-18,0,0,11.78653
2023-02-19,0,0,6.14314
2023-02-20,0,0,9.33696
2023-02-21,0,0,11.82428
2023-02-22,0,0,15.43804
2023-02-23,0,0,13.58208
2023-02-24,0,0,12.02383
2023-02-25,0,0,8.13249
2023-02-26,0,0,4.8905
2023-02-27,0,0,9.13562
2023-02-28,0,0,17.73516
2023-03-01,0,0,17.72977
2023-03-02,0,0,34.85084
2023-03-03,0,0,18.34854
2023-03-04,0,0,10.54035
2023-03-05,0,0,6.40813
2023-03-06,0,0,9.81623
2023-03-07,0,0,12.9723
2023-03-08,0,0,13.31854
2023-03-09,0,0,14.99796
2023-03-10,0,0,13.97938
2023-03-11,0,0,9.20537
2023-03-12,0,0,5.39134
2023-03-13,0,0,11.16344
2023-03-14,0,0,13.38505
2023-03-15,0,0,12.06517
2023-03-16,0,0,10.84129
2023-03-17,0,0,10.66439
2023-03-18,0,0,7.07004
2023-03-19,0,0,4.45149
2023-03-20,0,0,7.72082
2023-03-21,0,0,10.82906
2023-03-22,17.02127,0,15.1612
2023-03-23,0,0,13.57849
2023-03-24,0,0,11.3806
2023-03-25,0,0,6.92191
2023-03-26,0,0,5.0638
2023-03-27,0,0,8.25042
2023-03-28,0,0,10.2067
2023-03-29,0,0,10.10135
2023-03-30,0,0,11.55211
2023-03-31,0,0,9.88239
2023-04-01,17.02127,0,10.1578
2023-04-02,0,0,6.17946
2023-04-03,0,0,12.86552
2023-04-04,0,0,16.92619
2023-04-05,0,0,12.32368
2023-04-06,0,0,12.55235
2023-04-07,0,0,11.30474
2023-04-08,0,0,7.7485
2023-04-09,0,0,5.93677
2023-04-10,0,0,11.45215
2023-04-11,0,0,12.25933
2023-04-12,0,0,11.26375
2023-04-13,0,0,11.48092
2023-04-14,0,0,10.19016
2023-04-15,0,0,7.2002
2023-04-16,0,0,5.26694
2023-04-17,0,0,9.43476
2023-04-18,0,0,12.15973
2023-04-19,0,0,13.57022
2023-04-20,0,10.63829,34.07674
2023-04-21,0,36.17021,36.99515
2023-04-22,0,0,13.23872
2023-04-23,0,0,7.38752
2023-04-24,0,0,11.33171
2023-04-25,0,0,14.55501
2023-04-26,0,0,14.40508
2023-04-27,0,0,17.262
2023-04-28,0,0,11.94796
2023-04-29,0,0,8.54345
2023-04-30,0,0,5.83789
2023-05-01,0,0,7.074
2023-05-02,0,0,11.37881
2023-05-03,0,0,11.04803
2023-05-04,0,0,11.04587
2023-05-05,0,0,8.60709
2023-05-06,0,0,9.43979
2023-05-07,0,0,5.76562
2023-05-08,0,0,9.0274
2023-05-09,0,0,10.63959
2023-05-10,0,0,10.11897
2023-05-11,0,0,10.15708
2023-05-12,0,0,11.04982
2023-05-13,0,0,7.59282
2023-05-14,0,0,4.87072
2023-05-15,0,0,7.49718
2023-05-16,0,0,9.64545
2023-05-17,0,0,10.25452
2023-05-18,0,0,11.4313
2023-05-19,0,0,10.21676
2023-05-20,0,0,7.41341
2023-05-21,0,0,4.91782
2023-05-22,0,0,8.29752
2023-05-23,36.17021,0,13.65795
2023-05-24,0,0,11.21989
2023-05-25,0,0,11.42986
2023-05-26,0,0,10.77405
2023-05-27,0,0,9.58972
2023-05-28,0,0,7.28217
2023-05-29,0,12.76595,7.61259
2023-05-30,0,0,12.85761
2023-05-31,0,0,13.59215
2023-06-01,0,0,12.51999
2023-06-02,0,0,12.66956
2023-06-03,0,0,9.83457
2023-06-04,0,0,5.99969
2023-06-05,0,0,10.63959
2023-06-06,0,0,10.46485
2023-06-07,10.63829,0,17.0887
2023-06-08,0,0,15.62321
2023-06-09,44.68085,0,30.71466
2023-06-10,17.02127,0,16.40018
2023-06-11,0,0,8.31586
2023-06-12,10.63829,0,14.13542
2023-06-13,12.76595,0,22.57928
2023-06-14,34.04255,0,24.22743
2023-06-15,14.89361,0,18.49955
2023-06-16,0,0,15.00803
2023-06-17,0,0,9.80329
2023-06-18,0,0,6.30386
2023-06-19,0,0,9.3348
2023-06-20,0,0,12.47973
2023-06-21,0,0,23.31778
2023-06-22,0,0,19.27544
2023-06-23,0,0,14.26018
2023-06-24,0,0,8.65455
2023-06-25,0,0,5.46936
2023-06-26,0,0,9.87987
2023-06-27,0,0,16.76548
2023-06-28,0,0,14.12032
2023-06-29,0,0,12.82381
2023-06-30,0,0,11.22384
2023-07-01,0,0,8.70992
2023-07-02,0,0,7.4526
2023-07-03,0,0,23.86824
2023-07-04,0,0,20.88296
2023-07-05,0,0,13.77048
2023-07-06,0,0,14.70026
2023-07-07,0,0,12.11479
2023-07-08,0,0,8.23424
2023-07-09,0,0,5.30181
2023-07-10,0,0,9.27764
2023-07-11,0,0,12.05906
2023-07-12,0,0,11.28389
2023-07-13,0,0,11.60676
2023-07-14,0,0,33.53419
2023-07-15,0,0,21.99934
2023-07-16,0,0,13.54505
2023-07-17,0,0,23.04777
2023-07-18,0,0,23.97898
2023-07-19,10.63829,0,23.46663
2023-07-20,0,0,37.00594
2023-07-21,0,0,35.24777
2023-07-22,0,0,13.2362
2023-07-23,0,0,8.44673
2023-07-24,0,0,13.84527
2023-07-25,0,0,17.30012
2023-07-26,0,0,14.71392
2023-07-27,0,0,13.6655
2023-07-28,0,0,14.37559
2023-07-29,0,0,10.09524
2023-07-30,0,0,6.83886
2023-07-31,0,0,10.17829
2023-08-01,0,0,12.7048
2023-08-02,0,0,13.62487
2023-08-03,0,0,12.17915
2023-08-04,0,0,10.69819
2023-08-05,0,0,8.28422
2023-08-06,0,0,6.1942
2023-08-07,0,0,10.00248
2023-08-08,0,0,12.58939
2023-08-09,0,0,10.23258
2023-08-10,0,0,10.25452
2023-08-11,0,0,10.03268
2023-08-12,0,0,7.85169
2023-08-13,0,0,5.74729
2023-08-14,0,0,9.39449
2023-08-15,0,0,10.19447
2023-08-16,0,0,13.48465
2023-08-17,0,0,13.18335
2023-08-18,0,0,13.01832
2023-08-19,0,0,8.6283
2023-08-20,0,0,6.64147
2023-08-21,0,0,11.58842
2023-08-22,0,0,15.74186
2023-08-23,0,0,12.16225
2023-08-24,0,0,12.00153
2023-08-25,0,0,10.24984
2023-08-26,0,0,9.08636
2023-08-27,0,0,6.196
2023-08-28,0,0,11.67004
2023-08-29,0,0,12.01232
2023-08-30,19.14893,0,15.46932
2023-08-31,0,0,11.06169
2023-09-01,0,0,14.90448
2023-09-02,0,0,14.80022
2023-09-03,0,0,8.49923
2023-09-04,0,0,11.0998
2023-09-05,0,0,11.27562
2023-09-06,0,0,12.64116
2023-09-07,0,0,12.10149
2023-09-08,0,0,11.20802
2023-09-09,0,0,8.18391
2023-09-10,0,0,6.19564
2023-09-11,0,0,14.54818
2023-09-12,72.34042,0,28.72423
2023-09-13,0,0,14.39645
2023-09-14,0,0,12.26508
2023-09-15,0,0,11.63588
2023-09-16,0,0,7.93475
2023-09-17,0,0,6.42467
2023-09-18,0,0,9.49049
2023-09-19,0,0,11.6384
2023-09-20,0,0,9.47754
2023-09-21,0,0,9.79322
2023-09-22,0,0,9.12303
2023-09-23,0,0,8.57869
2023-09-24,0,0,5.39961
2023-09-25,0,0,9.18164
2023-09-26,0,0,15.19176
2023-09-27,0,0,9.24025
2023-09-28,0,0,7.47058
2023-09-29,0,0,7.99695
2023-09-30,0,0,6.47716
2023-10-01,0,0,5.57003
2023-10-02,0,0,7.64927
2023-10-03,0,0,8.30867
2023-10-04,0,0,9.84607
